X,Y
3662,1089
3723,1912
640,612
2517,2257
2149,2625
2731,734
2768,1746
2003,78
3739,1152
3096,1867
2385,2347
2051,2499
1848,2063
2630,609
3809,462
2436,637
497,3007
92,2822
1165,2796
3723,1629
2731,761
1571,751
3540,255
2930,1333
1226,1739
292,130
297,370
265,2210
85,901
322,1841
2879,2128
2604,2247
1907,2560
3012,2795
2235,990
2385,282
979,539
1079,2742
551,4
976,1361
1975,1364
239,62
3263,1737
170,1990
451,2384
929,2723
3346,2179
2657,336
2870,565
1709,2994
3238,621
3737,1522
255,150
1760,2509
397,2827
2445,1636
475,229
740,1721
3741,147
630,2419
1838,1731
3491,1617
902,2541
2560,2468
269,2835
3572,2679
3131,1223
161,864
763,2376
1694,1852
2420,2042
737,174
2286,2038
594,2197
1909,1468
3467,1644
945,399
1925,1961
1570,486
3211,1880
2384,2883
1460,970
3871,2468
3738,2997
1692,2591
3313,461
3387,2797
3712,47
1349,1216
2830,2625
2853,1064
889,1100
3412,704
591,2952
2716,2449
555,1343
3078,198
482,1440
1145,281
141,92
