X,Y
3696,1113
3723,1898
608,612
2552,2257
2168,2613
2731,752
2768,1762
2039,78
3767,1171
3096,1887
2422,2377
2051,2474
1882,2038
2599,609
3793,450
2467,637
497,2994
62,2801
1165,2825
3706,1629
2688,730
1553,763
3540,229
2930,1363
1260,1739
292,147
338,339
233,2210
85,924
341,1856
2917,2128
2604,2231
1868,2560
2987,2813
2197,990
2385,259
1009,539
1079,2766
581,4
1015,1361
1933,1396
255,62
3241,1753
210,1990
451,2360
929,2703
3308,2151
2635,336
2870,587
1745,2964
3278,621
3737,1495
229,150
1760,2497
361,2827
2416,1611
506,252
724,1733
3724,163
601,2419
1798,1731
3491,1598
857,2509
2600,2468
242,2857
3545,2679
3131,1207
138,883
784,2376
1694,1821
2438,2042
767,174
2286,2023
620,2177
1888,1468
3467,1617
945,413
1951,1961
1537,486
3193,1866
2384,2862
1477,957
3871,2487
3738,2964
1692,2575
3336,461
3387,2783
3712,37
1393,1216
2790,2653
2853,1052
908,1100
3453,704
609,2952
2716,2423
578,1343
3050,220
506,1423
1133,281
124,92
